,Unnamed: 0,dfo_centroid_y,dfo_main_cause,gfd_country_name,dfo_centroid_x,glide_index,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,id,began,dfo_validation_type,composite_type,dfo_country,countries,dfo_other_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,otsu_sample_res,flood_file,date,iso3
0,0,38.803959,Heavy Rain,"['UNITED STATES', 'MEXICO']",-120.824584,,5,1.5,0.7,14000,4444,2017-02-16,News,3Day,USA,"['United States', 'Mexico']",,5,"['US', 'MX']",2017-03-03,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4444_From_20170216_to_20170303/DFO_4444_From_20170216_to_20170303.tif,736376,"['USA', 'MEX']"
1,1,25.241123,Monsoon Rain,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",90.120056,,5,1.5,0.7,70000,3327,2008-07-05,News,3Day,India,"['China', 'India', 'Myanmar (Burma)', 'Nepal', 'Bangladesh', 'Bhutan']",,350,"['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",2008-07-14,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3327_From_20080705_to_20080714/DFO_3327_From_20080705_to_20080714.tif,733228,"['CHN', 'IND', 'MMR', 'NPL', 'BGD', 'BTN']"
2,2,32.886368,Monsoonal rain,"['INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'AFGHANISTAN', 'PAKISTAN', 'NEPAL']",73.884164,,5,1.0,0.7,3000,2958,2006-08-31,News,3Day,India,"['China', 'India', 'Pakistan', 'Afghanistan']",Pakistan,39,"['IN', 'CH', 'UU', 'AF', 'PK', 'NP']",2006-09-11,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2958_From_20060831_to_20060911/DFO_2958_From_20060831_to_20060911.tif,732554,"['CHN', 'IND', 'PAK', 'AFG']"
3,3,8.447826,Heavy Rain,['PHILIPPINES'],125.039978,TC-2009-00005-PHL,5,1.0,0.913,3500,3427,2008-12-28,News,3Day,Philippines,['Philippines'],,25,['RP'],2009-01-19,otsu,712.25,231.66,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3427_From_20081228_to_20090119/DFO_3427_From_20081228_to_20090119.tif,733404,['PHL']
4,4,18.577824,Heavy rain,"['THAILAND', 'LAOS', 'CAMBODIA', 'VIETNAM']",105.175058,,5,2.0,0.7,200000,2059,2002-09-20,News,3Day,Vietnam,"['Vietnam', 'Thailand', 'Laos', 'Cambodia']",,76,"['TH', 'LA', 'CB', 'VM']",2002-09-30,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2059_From_20020920_to_20020930/DFO_2059_From_20020920_to_20020930.tif,731113,"['VNM', 'THA', 'LAO', 'KHM']"
5,5,3.104364,Monsoonal rain,"['ETHIOPIA', 'SOMALIA']",45.444397,,5,1.0,0.7,0,2955,2006-08-24,News,3Day,Somalia,"['Ethiopia', 'Somalia']",,5,"['ET', 'SO']",2006-10-10,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2955_From_20060824_to_20061010/DFO_2955_From_20060824_to_20061010.tif,732547,"['ETH', 'SOM']"
6,6,7.095271,Torrential Rain,['PHILIPPINES'],124.865345,,5,1.5,0.7,2000,3777,2011-02-01,News,3Day,Philippines,['Philippines'],,11,['RP'],2011-02-04,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3777_From_20110201_to_20110204/DFO_3777_From_20110201_to_20110204.tif,734169,['PHL']
7,7,-0.860079,Heavy rain,"['INDONESIA', 'MALAYSIA']",114.779037,,5,1.0,0.7,3000,3065,2007-05-01,News,3Day,Indonesia,['Indonesia'],,0,"['ID', 'MY']",2007-05-25,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3065_From_20070501_to_20070525/DFO_3065_From_20070501_to_20070525.tif,732797,['IDN']
8,8,17.211479,Heavy rain,"['THAILAND', 'BURMA', 'LAOS', 'CAMBODIA', 'VIETNAM']",100.338679,,5,1.0,0.7,1000,3073,2007-05-11,News,3Day,Thailand,"['Vietnam', 'Thailand', 'Laos', 'Cambodia']",,0,"['TH', 'BM', 'LA', 'CB', 'VM']",2007-05-21,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3073_From_20070511_to_20070521/DFO_3073_From_20070511_to_20070521.tif,732807,"['VNM', 'THA', 'LAO', 'KHM']"
9,9,41.457879,Heavy Rain,"['ITALY', 'CROATIA', 'ALBANIA', 'BOSNIA & HERZEGOVINA', 'MONTENEGRO', 'SERBIA', 'GREECE', 'MACEDONIA', 'KOSOVO', 'BULGARIA', 'EGYPT', 'TURKEY', 'CYPRUS', 'Dhekelia (UK)', 'Akrotiri (UK)', 'Gaza Strip', 'ISRAEL', 'WEST BANK', ""No Man's Land-ISRAEL/West Bank"", 'SYRIA', 'LEBANON', 'ROMANIA', 'UKRAINE', 'SLOVENIA', 'In dispute CROATIA/SLOVENIA']",27.710632,,5,1.5,0.7,1000,4211,2014-12-04,News,3Day,Bulgaria,"['Turkey', 'Italy', 'Egypt', 'Jordan', 'Syria', 'Romania', 'Greece', 'Israel', 'Bulgaria', 'Serbia', 'Croatia', 'Albania', 'Macedonia', 'Cyprus', 'Lebanon', 'Bosnia and Herzegovina', 'Slovenia', 'Gaza Strip']",Greece,40,"['IT', 'HR', 'AL', 'BK', 'MJ', 'RB', 'GR', 'MK', 'KV', 'BU', 'EG', 'TU', 'CY', 'DX', 'AX', 'GZ', 'IS', 'WE', 'NM', 'SY', 'LE', 'RO', 'UP', 'SI', 'UU']",2014-12-14,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4211_From_20141204_to_20141214/DFO_4211_From_20141204_to_20141214.tif,735571,"['TUR', 'ITA', 'EGY', 'JOR', 'SYR', 'ROU', 'GRC', 'ISR', 'BGR', 'SRB', 'HRV', 'ALB', 'MKD', 'CYP', 'LBN', 'BIH', 'SVN', 'PSE']"
