country_name,iso3alpha_country_code,datasets
Afghanistan,AFG,all
Burkina Faso,BFA,all
Burundi,BDI,all
Cameroon,CMR,all
Central African Republic,CAF,all
Chad,TCD,all
Colombia,COL,all
DR Congo,COD,all
Ethiopia,ETH,all
Haiti,HTI,all
Mali,MLI,all
Mozambique,MOZ,all
Myanmar,MMR,all
Niger,NER,all
Nigeria,NGA,all
Somalia,SOM,all
South Sudan,SSD,all
State of Palestine,PSE,all
Sudan,SDN,all
Syrian Arab Republic,SYR,all
Ukraine,UKR,all
Venezuela,VEN,all
Yemen,YEM,all
Bangladesh,BGD,earthquake|tropical-cyclone|floods
Democratic People's Republic of Korea,PRK,tropical-cyclone|floods
Fiji,FJI,tropical-cyclone|floods
Indonesia,IDN,earthquake|tropical-cyclone|floods
Madagascar,MDG,tropical-cyclone|floods
Morocco,MAR,earthquake
Nepal,NPL,earthquake|tropical-cyclone|floods
Pakistan,PAK,earthquake
Papua New Guinea,PNG,earthquake|floods
Philippines,PHL,earthquake|tropical-cyclone|floods
Sri Lanka,LKA,tropical-cyclone|floods
Timor-Leste,TLS,earthquake
Türkiye,TUR,earthquake|floods
Vanuatu,VUT,tropical-cyclone|floods
Viet Nam,VNM,tropical-cyclone|floods
Guatemala,GTM,earthquake|tropical-cyclone|floods
Honduras,HND,earthquake|tropical-cyclone|floods
El Salvador,SLV,earthquake|tropical-cyclone|floods
Congo,COG,floods
Kenya,KEN,floods
Libya,LBY,floods
Rwanda,RWA,floods
Uganda,UGA,floods
United Republic of Tanzania,TZA,floods
Zimbabwe,ZWE,floods
Malawi,MWI,floods
